IDCNTRY;StratVar;NVarStrat
Australia;JKZONE;75
Armenia;JKZONE;74
Chinese Taipei;JKZONE;75
Cyprus;JKZONE;75
Hong Kong, SAR;JKZONE;66
Hungary;JKZONE;75
Iran, Islamic Republic of;JKZONE;75
Italy;JKZONE;75
Japan;JKZONE;75
Latvia;JKZONE;71
Lithuania;JKZONE;75
Moldova;JKZONE;75
Morocco;JKZONE;75
Netherlands;JKZONE;65
New Zealand;JKZONE;75
Norway;JKZONE;70
Philippines;JKZONE;68
Russian Federation;JKZONE;61
Singapore;JKZONE;75
Slovenia;JKZONE;75
Tunisia;JKZONE;75
United States;JKZONE;75
Yemen;JKZONE;75
England;JKZONE;62
Scotland;JKZONE;63
Belgium (Flemish);JKZONE;75
Canada (Ontario);JKZONE;75
Canada (Quebec);JKZONE;75
United States (Indiana);JKZONE;28
